lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 846| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |        |    |      |     |   |  |
 667|  * | 873| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 873| 5| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |18002304| A A|    6 |     |   |  |
    |  3 | 873| 6| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        | A A|    5 |     |   |  |
3401|  * | 873| 7|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 873| 7| 3000860|13487|     |64QAM| 28 | 28 | 50 |       |  Y |     |  Y |     | 36696 | 36696 | 73392 | 73392.0 | 0 | 0 |    86400 |   0.85 |17966216| A A|    4 |     |   |  |
  4 |  * | 873| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 873| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17970272| A A|    3 |     |   |  |
  2 |  * | 873| 9|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 873| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17974328| A A|    2 |     |   |  |
  4 |  * | 874| 0|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 874| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |17989440| A A|    1 |     |   |  |
    |  3 | 874| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17993496| A A|    0 |     |   |  |
  2 |  * | 874| 2|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 874| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18008608| A A|    7 |     |   |  |
    |  3 | 874| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18027464| A A|    6 |     |   |  |
  2 |  * | 874| 4|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 874| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18042568| A A|   63 |  15 |   |  |
    |  2 | 874| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |   120.0 | 2 |   |      576 |   0.21 |        |    |      |     |   |  |
    |  3 | 874| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |     |  Y |     | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |18046624| A A|   63 |  15 | 15| 2|
    |  3 | 874| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |   120.0 | 2 |   |      792 |   0.15 |        |    |      |     |   |  |
    |  3 | 874| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18050688| A A|    3 |     |   |  |
  2 |  * | 874| 7|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 874| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18065792| A A|    2 |     |   |  |
  4 |  * | 874| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
