lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 907| 2| 3000860|13487| -113.9 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 907| 3| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 907| 4| 3000860|13487|        |  -96.7 |    |        |  26 | N |    16QAM |   | 2 |  46 |  47 | Y |    |  1000 |  |       |   |                  |                  |    |    2 |
    |  3 | 907| 5| 3000860|13487|        |        |    |        |     |   |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |       |   |                  |                  |    |    3 |
  2 |  * | 907| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
3404|  * | 940| 4|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 940| 4| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
 661|  * | 940| 5|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 940| 5| 3000860|13487| -114.5 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 940| 6| 3000860|13487|        |  -96.6 |    |        |  25 | N |          |   | 2 |  46 |  47 |   |    |       |  |     0 |   |                  |                  | ACK|    6 |
 799|  * | 940| 7|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 940| 7| 3000860|13487| -114.1 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 940| 8| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 940| 9| 3000860|13487| -114.8 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 941| 0|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 0| 3000860|13487| -114.2 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
    |  3 | 941| 1| 3000860|13487| -114.1 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 2| 3000860|13487| -114.7 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 941| 3|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 3| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 4| 3000860|13487| -113.9 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 5| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 6| 3000860|13487|        |  -96.7 |    |        |  24 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 |   |                  |                  | ACK|    0 |
  2 |  * | 941| 7|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 7| 3000860|13487| -114.8 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 8| 3000860|13487| -114.4 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 941| 9| 3000860|13487| -114.5 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 942| 0| 3000860|13487| -114.6 |        |    |        |   7 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
  2 |  * | 942| 1|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
